name,address,city,state,description,star,full_address,postal_code,Reservation platform
 Sushi Inoue,381 Lenox Ave, New York, NY,ONE STAR for this Japanese restaurant in Harlem.,1,"381 Lenox Ave, New York, NY 10027",10027,Resy
 Dovetail,103 W 77th St, New York, NY,John Fraser's UWS fine dining restaurant has ONE STAR.,1,"103 W 77th St, New York, NY 10024",10024,
 Cafe Boulud,20 E 76th St, New York, NY,Daniel Boulud's beloved Upper East Side restaurant has ONE STAR.,1,"20 E 76th St, New York, NY 10021",10021,OpenTable
 Jean-Georges,1 Central Park West, New York, NY,Jean-Georges Vongerichten's flagship restaurant has been downgraded this year to TWO STARS.,2,"1 Central Park West, New York, NY 10023",10023,OpenTable
 Masa,10 Columbus Cir, New York, NY,Masa Takayama's pricey sushi restaurant has THREE STARS.,3,"10 Columbus Cir, New York, NY 10019",10019,
 Marea,240 Central Park S, New York, NY,Michael White's Central Park South Italian seafood restaurant has TWO STARS.,2,"240 Central Park S, New York, NY 10019",10019,
 Daniel,60 E 65th St, New York, NY,Daniel Boulud's Upper East Side French restaurant has TWO STARS.,2,"60 E 65th St, New York, NY 10065",10065,
 Torishin,362 W 53rd St, New York, NY,This terrific izakaya has ONE STAR.,1,"362 W 53rd St, New York, NY 10019",10019,
 Le Bernardin,155 W 51st St, New York, NY,Eric Ripert's beloved seafood restaurant has THREE STARS.,3,"155 W 51st St, New York, NY 10019",10019,Resy
 The Modern,9 W 53rd St, New York, NY,Danny Meyer's Midtown restaurant with chef Abram Bissell has TWO STARS.,2,"9 W 53rd St, New York, NY 10019",10019,OpenTable
 Aquavit,65 E 55th St, New York, NY,This Midtown Scandinavian restaurant has TWO STARS.,2,"65 E 55th St, New York, NY 10022",10022,OpenTable
 Caviar Russe,538 Madison Ave, New York, NY,This Midtown East fine dining restaurant has ONE STAR.,1,"538 Madison Ave, New York, NY 10022",10022,OpenTable
 Satsuki (Suzuki’s sushi bar),114 W 47th St (discreetly located), New York, NY,The family behind longtime favorite Sushi Zen opened edomae-style omakase Satsuki in 2017 and have earned ONE STAR.,1,"114 W 47th St (discreetly located), New York, NY 10036",10036,
 Chef's Table at Brooklyn Fare,431 W 37th St, New York, NY,Cesar Ramirez's fine-dining counter retains its THREE STAR rating for another year.,3,"431 W 37th St, New York, NY 10018",10018,
 Aureole,135 W 42nd St, New York, NY,Charlie Palmer's Times Square restaurant has ONE STAR.,1,"135 W 42nd St, New York, NY 10036",10036,OpenTable
 Gabriel Kreuther,41 W 42nd St, New York, NY,Gabriel Kreuther's eponymous Midtown restaurant has ONE STAR.,1,"41 W 42nd St, New York, NY 10036",10036,OpenTable
 Sushi Ginza Onodera,461 5th Ave, New York, NY,This omakase-only restaurant has been upgraded this year to TWO STARS.,2,"461 5th Ave, New York, NY 10017",10017,OpenTable
 Sushi Amane,245 E 44th St, New York, NY,"After just three months in Midtown East, Sushi Amane scores ONE STAR.",1,"245 E 44th St, New York, NY 10017",10017,
 Sushi Yasuda,204 E 43rd St, New York, NY,This sushi favorite has ONE STAR.,1,"204 E 43rd St, New York, NY 10017",10017,Resy
 Ai Fiori,400 5th Ave #2, New York, NY,Michael White's French Riviera-inspired restaurant has ONE STAR.,1,"400 5th Ave #2, New York, NY 10018",10018,OpenTable
 Café China,13 E 37th St, New York, NY,This stylish Midtown Sichuan restaurant has ONE STAR.,1,"13 E 37th St, New York, NY 10016",10016,
 Kajitsu,125 E 39th St, New York, NY,This Midtown vegetarian Japanese restaurant has ONE STAR.,1,"125 E 39th St, New York, NY 10016",10016,OpenTable
 Tempura Matsui,222 E 39th St, New York, NY,This pricey Japanese restaurant retains its ONE STAR rating.,1,"222 E 39th St, New York, NY 10016",10016,OpenTable
 Ushiwakamaru,362 W 23rd St, New York, NY,This Kosher-friendly sushi bar has ONE STAR.,1,"362 W 23rd St, New York, NY 10011",10011,
 The Breslin,16 W 29th St, New York, NY,"Ken Friedman and April Bloomfield's gastropub in the Ace Hotel has ONE STAR. Editor’s note: Ken Friedman, a part-owner, has been accused of sexual misconduct by multiple women.",1,"16 W 29th St, New York, NY 10001",10001,
 The NoMad Restaurant,1170 Broadway, New York, NY,Daniel Humm and Will Guidara’s restaurant in The NoMad Hotel retains its ONE STAR rating.,1,"1170 Broadway, New York, NY 10001",10001,
 Del Posto,85 10th Ave, New York, NY,"This Chelsea Italian restaurant from Mario Batali, Joe Bastianich, and Lidia Bastianich stays on the list with new executive chef Melissa Rodriguez with ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"85 10th Ave, New York, NY 10011",10011,
 Casa Enrique,5-48 49th Ave, Long Island City, NY,"ONE STAR for Cosme Aguilar's Mexican restaurant, the only one on the list.",1,"5-48 49th Ave, Long Island City, NY 11101",11101,
 Junoon,27 W 24th St, New York, NY,Rajesh Bhardwaj’s Indian fine dining restaurant has ONE STAR.,1,"27 W 24th St, New York, NY 10010",10010,
 La Sirena,88 9th Ave, New York, NY,"Mario Batali and Joe Bastianich's sprawling Chelsea restaurant has ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"88 9th Ave, New York, NY 10011",10011,
 Eleven Madison Park,11 Madison Ave, New York, NY,Daniel Humm and Will Guidara's newly renovated stunner holds onto its THREE STARS.,3,"11 Madison Ave, New York, NY 10010",10010,
 The Clocktower,5 Madison Ave, New York, NY,"The British restaurant, opened in 2015 from prolific restaurateur Stephen Starr and chef Jason Atherton, earns ONE STAR for the first time.",1,"5 Madison Ave, New York, NY 10010",10010,
 Cote Korean Steakhouse,16 W 22nd St, New York, NY,The new steakhouse from owner Simon Kim and chef David Shim makes it on the list with ONE STAR. ,1,"16 W 22nd St, New York, NY 10010",10010,
 Rouge Tomate Chelsea,126 W 18th St, New York, NY,This wine-focused American Chelsea restaurant lands on the list this year with ONE STAR.,1,"126 W 18th St, New York, NY 10011",10011,
 Gunter Seeger NY,641 Hudson St, New York, NY,The Atlanta chef's eponymous restaurant has ONE STAR.,1,"641 Hudson St, New York, NY 10014",10014,
 ALDEA,31 W 17th St, New York, NY,George Mendes’ modern Portuguese restaurant has ONE STAR.,1,"31 W 17th St, New York, NY 10011",10011,
 Gramercy Tavern,42 E 20th St, New York, NY,Restaurateur Danny Meyer and chef Michael Anthony's perennial favorite has ONE STAR.,1,"42 E 20th St, New York, NY 10003",10003,Resy
 Casa Mono,52 Irving Pl, New York, NY,"This Gramercy Spanish restaurant from Mario Batali has ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"52 Irving Pl, New York, NY 10003",10003,OpenTable
 Wallsé,344 W 11th St, New York, NY,Kurt Gutenbrunner's West Village Austrian restaurant has ONE STAR.,1,"344 W 11th St, New York, NY 10014",10014,OpenTable
 Gotham Bar and Grill,12 E 12th St, New York, NY,Alfred Portale's classic American restaurant has ONE STAR.,1,"12 E 12th St, New York, NY 10003",10003,OpenTable
 Nix,72 University Pl, New York, NY,John Fraser's vegetarian restaurant holds onto its ONE STAR.,1,"72 University Pl, New York, NY 10003",10003,
 Babbo,110 Waverly Pl, New York, NY,"Mario Batali's flagship restaurant has ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"110 Waverly Pl, New York, NY 10011",10011,
 Blue Hill,75 Washington Pl, New York, NY,Dan Barber's farm-to-table restaurant off Washington Square Park has ONE STAR.,1,"75 Washington Pl, New York, NY 10011",10011,
 Kanoyama,175 2nd Ave, New York, NY,This East Village sushi restaurant retains ONE STAR.,1,"175 2nd Ave, New York, NY 10003",10003,
 Minetta Tavern,113 Macdougal St, New York, NY,Keith McNally's steakhouse gem has ONE STAR.,1,"113 Macdougal St, New York, NY 10012",10012,
 Sushi Zo,88 W 3rd St, New York, NY,The New York offshoot of a high-end LA sushi restaurant has ONE STAR.,1,"88 W 3rd St, New York, NY 10012",10012,
 Carbone,181 Thompson St, New York, NY,"The fancy red sauce Italian restaurant from Rich Torrisi, Mario Carbone, and Jeff Zalaznick has ONE STAR.",1,"181 Thompson St, New York, NY 10012",10012,Resy
 ZZ's Clam Bar,169 Thompson St, New York, NY,Major Food Group's cocktail lounge and seafood bar has ONE STAR.,1,"169 Thompson St, New York, NY 10012",10012,Resy
 Jewel Bako,239 E 5th St, New York, NY,Jack Lamb's East Village Japanese restaurant has ONE STAR.,1,"239 E 5th St, New York, NY 10003",10003,
 Kyo Ya,94 E 7th St, New York, NY,This East Village Japanese restaurant has ONE STAR.,1,"94 E 7th St, New York, NY 10009",10009,
 Momofuku Ko,8 Extra Pl, New York, NY,David Chang's East Village chef's counter has TWO STARS.,2,"8 Extra Pl, New York, NY 10003",10003,
 Hirohisa,73 Thompson St, New York, NY,This Japanese restaurant sticks on the list with ONE STAR.,1,"73 Thompson St, New York, NY 10012",10012,
 The Musket Room,265 Elizabeth St, New York, NY,This New Zealand-inspired restaurant from Matt Lambert retains its ONE STAR rating.,1,"265 Elizabeth St, New York, NY 10012",10012,Resy
 Rebelle,218 Bowery, New York, NY,This modern French wine bar on the Bowery has ONE STAR.,1,"218 Bowery, New York, NY 10012",10012,
 Uchu,217 Eldridge St, New York, NY,Eiji Ichimura’s new sushi tasting counter makes it to the list with ONE STAR.,1,"217 Eldridge St, New York, NY 10002",10002,
 Uncle Boons,7 Spring St, New York, NY,This Nolita Thai restaurant sticks on the list with ONE STAR.,1,"7 Spring St, New York, NY 10012",10012,
 Contra,138 Orchard St, New York, NY,Fabian von Hauske and Jeremiah Stone’s ambitious set menu restaurant has ONE STAR.,1,"138 Orchard St, New York, NY 10002",10002,Resy
 Bâtard,239 W Broadway, New York, NY,"The Tribeca restaurant from Drew Nieporent, Markus Glocker, and John Winterman retains its ONE STAR rating.",1,"239 W Broadway, New York, NY 10013",10013,OpenTable
 Jungsik,2 Harrison St, New York, NY,This Korean fine dining restaurant has TWO STARS.,2,"2 Harrison St, New York, NY 10013",10013,OpenTable
 Delaware and Hudson,135 N 5th St, Brooklyn, NY,Patti Jackson's mid-Atlantic focused restaurant has ONE STAR.,1,"135 N 5th St, Brooklyn, NY 11249",11249,
 Atera,77 Worth St, New York, NY,This forward-thinking Tribeca restaurant has TWO STARS.,2,"77 Worth St, New York, NY 10013",10013,OpenTable
 Aska,47 S 5th St, Brooklyn, NY,Fredrik Berselius’s tasting menu reboot sticks with TWO STARS.,2,"47 S 5th St, Brooklyn, NY 11249",11249,
 L'Appart,225 Liberty St, New York, NY,Le District's tasting menu restaurant lands on the list with ONE STAR.,1,"225 Liberty St, New York, NY 10281",10281,Resy
 Meadowsweet,149 Broadway, Brooklyn, NY,Polo Dobkin's American restaurant gets ONE STAR.,1,"149 Broadway, Brooklyn, NY 11211",11211,
 Peter Luger Steak House,178 Broadway, Brooklyn, NY,New York's most beloved steakhouse has ONE STAR.,1,"178 Broadway, Brooklyn, NY 11211",11211,
 Faro,436 Jefferson St, Brooklyn, NY,Kevin and Debbie Adey's Bushwick restaurant has ONE STAR.,1,"436 Jefferson St, Brooklyn, NY 11237",11237,
 Blanca,261 Moore St, Brooklyn, NY,Carlo Mirarchi's Bushwick tasting menu restaurant has TWO STARS.,2,"261 Moore St, Brooklyn, NY 11206",11206,OpenTable
 The River Café,1 Water St, Brooklyn, NY,Brooklyn's iconic floating restaurant has ONE STAR.,1,"1 Water St, Brooklyn, NY 11201",11201,
 La Vara,268 Clinton St, Brooklyn, NY,Alex Raij and Eder Montero's Cobble Hill restaurant has ONE STAR.,1,"268 Clinton St, Brooklyn, NY 11201",11201,
 The Finch,212 Greene Ave, Brooklyn, NY,This Clinton Hill New American restaurant has ONE STAR.,1,"212 Greene Ave, Brooklyn, NY 11238",11238,Resy
 Per Se,4th Floor  Time Warner Center  10 Columbus Cir, New York, NY,Thomas Keller's restaurant in the Time Warner Center has THREE STARS.,3,"4th Floor  Time Warner Center  10 Columbus Cir, New York, NY 10023",10023,
 Agern,Grand Central Terminal  89 E 42nd St, New York, NY,Claus Meyer’s Grand Central restaurant retains ONE STAR.,1,"Grand Central Terminal  89 E 42nd St, New York, NY 10017",10017,OpenTable
